日付,1番,2番,3番,4番,5番,6番,7番,8番,9番,勝敗,スコア,対戦相手,先発投手,責任投手,球場,開始
8月2日(火),清宮 幸太郎,万波 中正,近藤 健介,渡邉 諒,今川 優馬,古川 裕大,郡 拓也,中島 卓也,佐藤 龍世,○,6 - 5,ソフトバンク,伊藤,○伊藤,旭川,18:00
8月3日(水),清宮 幸太郎,万波 中正,近藤 健介,今川 優馬,アルカンタラ,郡 拓也,谷内 亮太,佐藤 龍世,梅林 優貴,○,5 - 1,ソフトバンク,上原,○上原,札幌ドーム,18:00
8月4日(木),清宮 幸太郎,万波 中正,近藤 健介,アルカンタラ,ヌニエス,今川 優馬,佐藤 龍世,梅林 優貴,中島 卓也,△,3 - 3,ソフトバンク,杉浦,,札幌ドーム,18:00
8月5日(金),アルカンタラ,ヌニエス,清宮 幸太郎,近藤 健介,今川 優馬,佐藤 龍世,万波 中正,清水 優心,谷内 亮太,●,2 - 5,オリックス,ポンセ,●ポンセ,京セラD大阪,18:00
8月6日(土),清宮 幸太郎,杉谷 拳士,ヌニエス,古川 裕大,今川 優馬,アルカンタラ,万波 中正,郡 拓也,中島 卓也,●,1 - 3,オリックス,田中,●田中,京セラD大阪,14:00
8月7日(日),佐藤 龍世,中島 卓也,今川 優馬,清宮 幸太郎,アルカンタラ,渡邉 諒,片岡 奨人,梅林 優貴,谷内 亮太,○,5 - 3,オリックス,根本,○根本,京セラD大阪,13:00
8月9日(火),今川 優馬,中島 卓也,谷内 亮太,清宮 幸太郎,近藤 健介,野村 佑希,古川 裕大,万波 中正,郡 拓也,○,5 - 3,西武,伊藤,○ロドリゲス,札幌ドーム,18:00
8月10日(水),片岡 奨人,杉谷 拳士,上川畑 大悟,清宮 幸太郎,近藤 健介,野村 佑希,古川 裕大,梅林 優貴,アルカンタラ,△,2 - 2,西武,上原,,札幌ドーム,18:00
8月11日(木),古川 裕大,上川畑 大悟,近藤 健介,清宮 幸太郎,野村 佑希,杉谷 拳士,今川 優馬,清水 優心,佐藤 龍世,○,3 - 2,西武,鈴木,○井口,札幌ドーム,14:00
8月12日(金),古川 裕大,アルカンタラ,上川畑 大悟,野村 佑希,近藤 健介,今川 優馬,郡 拓也,梅林 優貴,万波 中正,●,2 - 3,ロッテ,ポンセ,●ロドリゲス,ZOZOマリン,18:00
8月14日(日),上川畑 大悟,中島 卓也,近藤 健介,野村 佑希,今川 優馬,古川 裕大,万波 中正,佐藤 龍世,梅林 優貴,○,8 - 3,ロッテ,加藤,○加藤,ZOZOマリン,17:00
8月16日(火),上川畑 大悟,松本 剛,近藤 健介,野村 佑希,古川 裕大,今川 優馬,万波 中正,佐藤 龍世,アルカンタラ,●,1 - 2,楽天,根本,●根本,札幌ドーム,18:00
8月17日(水),杉谷 拳士,松本 剛,近藤 健介,野村 佑希,今川 優馬,万波 中正,佐藤 龍世,谷内 亮太,梅林 優貴,●,2 - 8,楽天,上原,●上原,札幌ドーム,18:00
8月18日(木),清宮 幸太郎,松本 剛,近藤 健介,野村 佑希,上川畑 大悟,今川 優馬,宇佐見 真吾,中島 卓也,アルカンタラ,●,1 - 2,楽天,伊藤,●伊藤,札幌ドーム,18:00
8月19日(金),野村 佑希,清宮 幸太郎,上川畑 大悟,今川 優馬,近藤 健介,古川 裕大,清水 優心,郡 拓也,中島 卓也,●,2 - 7,ソフトバンク,ポンセ,●ポンセ,PayPayドーム,18:00
8月20日(土),万波 中正,松本 剛,清宮 幸太郎,近藤 健介,今川 優馬,野村 佑希,上川畑 大悟,宇佐見 真吾,佐藤 龍世,●,3 - 9,ソフトバンク,上沢,●上沢,PayPayドーム,18:00
8月21日(日),上川畑 大悟,松本 剛,近藤 健介,清宮 幸太郎,今川 優馬,宇佐見 真吾,古川 裕大,谷内 亮太,中島 卓也,●,1 - 5,ソフトバンク,加藤,●加藤,PayPayドーム,14:00
8月23日(火),古川 裕大,上川畑 大悟,近藤 健介,松本 剛,今川 優馬,清宮 幸太郎,佐藤 龍世,清水 優心,杉谷 拳士,△,0 - 0,オリックス,鈴木,,釧路,13:00
8月24日(水),郡 拓也,アルカンタラ,万波 中正,古川 裕大,上川畑 大悟,近藤 健介,松本 剛,清宮 幸太郎,今川 優馬,●,4 - 5,オリックス,上原,●上原,帯広,13:00
8月26日(金),古川 裕大,石井 一成,アルカンタラ,今川 優馬,上川畑 大悟,近藤 健介,松本 剛,清宮 幸太郎,宇佐見 真吾,●,0 - 10,ソフトバンク,伊藤,●伊藤,札幌ドーム,18:00
8月27日(土),清宮 幸太郎,上川畑 大悟,近藤 健介,松本 剛,木村 文紀,古川 裕大,佐藤 龍世,万波 中正,中島 卓也,○,2 - 0,ソフトバンク,ポンセ,○ポンセ,札幌ドーム,14:00
8月28日(日),杉谷 拳士,上川畑 大悟,近藤 健介,松本 剛,古川 裕大,木村 文紀,万波 中正,佐藤 龍世,中島 卓也,●,0 - 6,ソフトバンク,加藤,●加藤,札幌ドーム,14:00
8月30日(火),清宮 幸太郎,石井 一成,近藤 健介,松本 剛,上川畑 大悟,古川 裕大,今川 優馬,佐藤 龍世,清水 優心,●,1 - 3,西武,上沢,●上沢,ベルーナドーム,18:00
8月31日(水),木村 文紀,清宮 幸太郎,近藤 健介,松本 剛,清水 優心,今川 優馬,石井 一成,谷内 亮太,佐藤 龍世,○,4 - 2,西武,根本,○吉田,ベルーナドーム,18:00
9月2日(金),清宮 幸太郎,上川畑 大悟,近藤 健介,松本 剛,宇佐見 真吾,木村 文紀,万波 中正,谷内 亮太,アルカンタラ,○,3 - 1,楽天,伊藤,○伊藤,楽天生命パーク,18:00
9月3日(土),清宮 幸太郎,中島 卓也,古川 裕大,上川畑 大悟,近藤 健介,今川 優馬,万波 中正,谷内 亮太,アルカンタラ,●,4 - 5,楽天,ポンセ,●堀,楽天生命パーク,14:00
9月4日(日),上川畑 大悟,杉谷 拳士,谷内 亮太,木村 文紀,近藤 健介,今川 優馬,宇佐見 真吾,佐藤 龍世,万波 中正,○,8 - 2,楽天,加藤,○加藤,楽天生命パーク,13:00
9月6日(火),上川畑 大悟,谷内 亮太,近藤 健介,松本 剛,宇佐見 真吾,今川 優馬,清宮 幸太郎,石井 一成,万波 中正,○,6 - 2,オリックス,上沢,○上沢,札幌ドーム,18:00
9月7日(水),上川畑 大悟,谷内 亮太,近藤 健介,松本 剛,古川 裕大,木村 文紀,清宮 幸太郎,アルカンタラ,万波 中正,○,3 - 2,オリックス,上原,○ロドリゲス,札幌ドーム,18:00
9月8日(木),中島 卓也,谷内 亮太,近藤 健介,松本 剛,木村 文紀,清宮 幸太郎,今川 優馬,清水 優心,杉谷 拳士,●,2 - 10,ロッテ,メネズ,●堀,ZOZOマリン,18:00
9月10日(土),上川畑 大悟,松本 剛,近藤 健介,石井 一成,今川 優馬,清宮 幸太郎,宇佐見 真吾,佐藤 龍世,万波 中正,○,2 - 1,西武,伊藤,○井口,ベルーナドーム,14:00
9月11日(日),上川畑 大悟,松本 剛,近藤 健介,木村 文紀,古川 裕大,清宮 幸太郎,中島 卓也,谷内 亮太,アルカンタラ,●,0 - 3,西武,ポンセ,●ポンセ,ベルーナドーム,14:00
9月12日(月),上川畑 大悟,古川 裕大,松本 剛,近藤 健介,谷内 亮太,今川 優馬,清宮 幸太郎,宇佐見 真吾,石井 一成,●,0 - 3,ロッテ,加藤,●加藤,ZOZOマリン,18:00
9月13日(火),上川畑 大悟,谷内 亮太,石井 一成,近藤 健介,松本 剛,清水 優心,清宮 幸太郎,今川 優馬,万波 中正,○,11 - 3,ロッテ,上沢,○上沢,ZOZOマリン,18:00
9月14日(水),木村 文紀,清宮 幸太郎,近藤 健介,松本 剛,上川畑 大悟,石井 一成,アルカンタラ,清水 優心,佐藤 龍世,●,1 - 8,ロッテ,鈴木,●鈴木,ZOZOマリン,18:00
9月15日(木),中島 卓也,万波 中正,近藤 健介,今川 優馬,上川畑 大悟,谷内 亮太,杉谷 拳士,宇佐見 真吾,細川 凌平,●,2 - 3,オリックス,根本,●堀,京セラD大阪,18:00
9月16日(金),中島 卓也,細川 凌平,上川畑 大悟,松本 剛,近藤 健介,清宮 幸太郎,谷内 亮太,古川 裕大,アルカンタラ,○,6 - 3,オリックス,メネズ,○メネズ,京セラD大阪,18:00
9月17日(土),中島 卓也,細川 凌平,上川畑 大悟,松本 剛,清宮 幸太郎,木村 文紀,谷内 亮太,宇佐見 真吾,今川 優馬,○,5 - 4,ロッテ,伊藤,○玉井,札幌ドーム,18:00
9月18日(日),上川畑 大悟,石井 一成,近藤 健介,清宮 幸太郎,今川 優馬,谷内 亮太,アルカンタラ,古川 裕大,万波 中正,●,4 - 7,ロッテ,ポンセ,●石川直,札幌ドーム,14:00
9月19日(月),清宮 幸太郎,細川 凌平,松本 剛,木村 文紀,近藤 健介,上川畑 大悟,宇佐見 真吾,石井 一成,中島 卓也,○,4 - 0,ロッテ,加藤,○加藤,札幌ドーム,14:00
9月20日(火),中島 卓也,細川 凌平,清宮 幸太郎,松本 剛,上川畑 大悟,谷内 亮太,アルカンタラ,宇佐見 真吾,今川 優馬,●,1 - 3,ソフトバンク,上沢,●上沢,札幌ドーム,18:00
9月23日(金),中島 卓也,五十幡 亮汰,近藤 健介,清宮 幸太郎,上川畑 大悟,アルカンタラ,細川 凌平,梅林 優貴,石井 一成,○,6 - 3,楽天,根本,○ロドリゲス,楽天生命パーク,14:00
9月24日(土),五十幡 亮汰,杉谷 拳士,近藤 健介,清宮 幸太郎,上川畑 大悟,今川 優馬,古川 裕大,細川 凌平,谷内 亮太,●,2 - 6,西武,池田,●池田,札幌ドーム,18:00
9月25日(日),清宮 幸太郎,細川 凌平,近藤 健介,木村 文紀,上川畑 大悟,谷内 亮太,宇佐見 真吾,今川 優馬,中島 卓也,●,0 - 6,楽天,達,●松浦,札幌ドーム,18:00
9月26日(月),細川 凌平,杉谷 拳士,五十幡 亮汰,近藤 健介,上川畑 大悟,谷内 亮太,アルカンタラ,宇佐見 真吾,石井 一成,○,3 - 2,楽天,加藤,○加藤,札幌ドーム,18:00
9月27日(火),細川 凌平,清宮 幸太郎,近藤 健介,松本 剛,野村 佑希,上川畑 大悟,今川 優馬,梅林 優貴,中島 卓也,○,14 - 0,ロッテ,鈴木,○鈴木,札幌ドーム,18:00
9月28日(水),五十幡 亮汰,石井 一成,近藤 健介,王 柏融,清宮 幸太郎,野村 佑希,上川畑 大悟,古川 裕大,中島 卓也,●,3 - 11,ロッテ,上沢,●上沢,札幌ドーム,18:00
10月2日(日),清宮 幸太郎,五十幡 亮汰,野村 佑希,松本 剛,上川畑 大悟,木村 文紀,杉谷 拳士,宇佐見 真吾,石井 一成,○,4 - 2,西武,根本,○根本,ベルーナドーム,18:00
