順位,選手名,チーム,打率,打数,安打,本塁打,打点,出塁率,長打率,OPS,NOI,GPA,IsoP,IsoD,RC,RC27,XR,XR27,BABIP,SecA,TA
194,山口　航輝,ロッテ,.207,203,42,9,20,.294,.365,.658,.415,.223,.158,.087,20.92,3.38,22.08,3.57,.234,.276,.587
195,清水　優心,日本ハム,.206,214,44,4,18,.294,.290,.584,.390,.205,.084,.088,19.62,2.83,21.26,3.07,.244,.215,.520
195,田中　広輔,広島,.206,136,28,2,8,.308,.279,.587,.401,.208,.074,.102,12.49,2.93,13.04,3.06,.226,.191,.505
197,佐藤　都志也,ロッテ,.205,132,27,6,18,.284,.386,.670,.413,.224,.182,.079,16.35,3.91,17.07,4.08,.202,.311,.657
197,立岡　宗一郎,巨人,.205,44,9,0,1,.255,.205,.460,.324,.166,.000,.051,2.12,1.64,2.31,1.78,.243,.068,.343
199,大田　泰示,日本ハム,.204,191,39,3,20,.257,.298,.556,.357,.190,.094,.053,10.85,1.79,11.44,1.88,.259,.168,.436
199,内田　靖人,楽天,.204,54,11,1,11,.220,.296,.517,.319,.173,.093,.017,3.22,1.81,4.32,2.43,.263,.111,.409
199,原口　文仁,阪神,.204,49,10,0,3,.328,.286,.613,.423,.219,.082,.124,5.38,3.72,5.43,3.76,.270,.184,.590
202,エチェバリア,ロッテ,.203,207,42,4,24,.222,.314,.536,.327,.179,.111,.019,11.33,1.75,12.62,1.95,.229,.135,.407
202,香月　一也,巨人,.203,59,12,3,6,.277,.407,.684,.413,.226,.203,.074,6.33,3.35,6.53,3.46,.196,.271,.612
204,明石　健志,ソフトバンク,.202,84,17,0,7,.284,.226,.510,.360,.184,.024,.082,5.41,2.09,6.03,2.33,.254,.131,.420
205,周東　佑京,ソフトバンク,.201,169,34,3,5,.258,.260,.519,.345,.181,.059,.057,13.06,2.40,13.97,2.57,.252,.225,.518
206,荒木　貴裕,ヤクルト,.200,55,11,0,5,.262,.200,.462,.329,.168,.000,.062,3.26,1.69,3.82,1.98,.208,.091,.378
206,北條　史也,阪神,.200,50,10,1,6,.273,.300,.573,.373,.198,.100,.073,3.97,2.49,4.10,2.57,.225,.180,.488
206,山下　幸輝,DeNA,.200,50,10,0,4,.231,.220,.451,.304,.159,.020,.031,2.11,1.42,2.24,1.51,.233,.060,.325
206,細川　凌平,日本ハム,.200,25,5,0,0,.231,.200,.431,.297,.154,.000,.031,0.48,0.61,0.62,0.80,.385,.000,.238
206,嶋　基宏,ヤクルト,.200,10,2,0,0,.385,.200,.585,.451,.223,.000,.185,0.96,2.36,1.00,2.45,.182,.300,.556
206,宮本　秀明,DeNA,.200,10,2,0,0,.273,.200,.473,.339,.173,.000,.073,0.16,0.44,0.29,0.78,.500,.100,.300
206,益子　京右,DeNA,.200,5,1,0,0,.200,.200,.400,.267,.140,.000,.000,-0.24,-1.30,-0.24,-1.30,.250,.000,.200
213,万波　中正,日本ハム,.198,126,25,5,13,.233,.405,.638,.368,.206,.206,.035,10.59,2.70,11.19,2.85,.290,.230,.533
214,山田　遥楓,西武,.197,147,29,0,18,.258,.252,.509,.342,.179,.054,.060,9.32,1.88,10.51,2.12,.244,.136,.405
214,Ｒ．ロドリゲス,日本ハム,.197,122,24,6,12,.216,.426,.642,.358,.204,.230,.019,10.94,2.95,11.28,3.05,.231,.262,.560
216,井上　晴哉,ロッテ,.196,51,10,1,6,.226,.275,.501,.318,.171,.078,.030,1.41,0.85,1.61,0.97,.214,.098,.356
217,森　敬斗,DeNA,.194,103,20,0,5,.241,.272,.513,.332,.176,.078,.047,6.30,1.91,7.12,2.16,.263,.165,.430
217,平沼　翔太,日本ハム,.194,72,14,0,3,.284,.264,.548,.372,.194,.069,.090,5.97,2.60,6.06,2.64,.241,.181,.483
217,菅野　剛士,ロッテ,.194,67,13,2,5,.260,.343,.604,.375,.203,.149,.066,4.91,2.21,5.06,2.28,.234,.239,.517
217,山野辺　翔,西武,.194,36,7,0,2,.211,.278,.488,.303,.164,.083,.016,2.32,1.95,2.71,2.29,.259,.167,.467
221,中田　翔,日本ハム,.193,135,26,4,13,.273,.304,.577,.375,.199,.111,.081,10.26,2.45,10.98,2.62,.220,.215,.496
222,金子　侑司,西武,.192,198,38,0,9,.243,.237,.480,.322,.169,.045,.051,6.94,1.02,8.26,1.21,.228,.106,.347
223,神里　和毅,DeNA,.191,110,21,4,15,.231,.327,.558,.340,.186,.136,.040,7.32,2.08,8.27,2.35,.288,.200,.462
223,上林　誠知,ソフトバンク,.191,68,13,2,11,.222,.324,.546,.330,.181,.132,.031,3.66,1.65,4.42,1.99,.224,.176,.424
225,堂林　翔太,広島,.190,137,26,0,5,.213,.234,.446,.291,.154,.044,.023,3.86,0.88,4.06,0.93,.248,.073,.319
226,廣岡　大志,巨人,.189,106,20,5,15,.256,.387,.643,.385,.212,.198,.068,10.35,3.11,11.35,3.41,.195,.274,.584
226,嶺井　博希,DeNA,.189,74,14,0,7,.250,.243,.493,.331,.173,.054,.061,3.85,1.71,3.96,1.75,.280,.108,.393
226,石川　慎吾,巨人,.189,37,7,0,0,.268,.243,.512,.349,.182,.054,.079,1.75,1.48,1.85,1.56,.241,.135,.375
229,太田　光,楽天,.188,240,45,4,23,.260,.254,.515,.345,.181,.067,.073,15.85,1.99,17.37,2.18,.217,.138,.429
229,郡　拓也,日本ハム,.188,69,13,0,4,.263,.232,.495,.340,.176,.043,.075,3.66,1.67,3.85,1.76,.277,.130,.397
229,炭谷　銀仁朗,巨人,.188,48,9,1,7,.245,.250,.495,.329,.173,.063,.058,2.92,1.92,3.47,2.29,.250,.146,.410
232,黒川　史陽,楽天,.187,75,14,1,8,.228,.253,.481,.312,.166,.067,.041,3.49,1.50,3.78,1.62,.224,.107,.371
233,中島　卓也,日本ハム,.186,97,18,0,1,.275,.186,.461,.337,.170,.000,.090,6.13,1.86,6.68,2.03,.237,.175,.432
233,山本　泰寛,阪神,.186,43,8,0,3,.294,.256,.550,.379,.196,.070,.108,4.19,3.14,4.54,3.41,.235,.256,.571
235,石川　亮,日本ハム,.185,108,20,0,7,.214,.204,.418,.282,.147,.019,.029,2.41,0.63,2.72,0.71,.204,.046,.272
235,坂本　誠志郎,阪神,.185,65,12,1,6,.239,.292,.532,.337,.181,.108,.055,4.59,2.21,5.13,2.47,.239,.185,.453
235,川瀬　晃,ソフトバンク,.185,27,5,0,0,.241,.185,.427,.303,.155,.000,.056,1.21,1.42,1.35,1.58,.263,.111,.364
238,小郷　裕哉,楽天,.182,77,14,2,6,.259,.325,.583,.367,.198,.143,.077,6.59,2.66,6.93,2.79,.218,.221,.516
238,バレンティン,ソフトバンク,.182,55,10,4,9,.250,.455,.705,.402,.226,.273,.068,5.81,3.34,6.18,3.55,.188,.364,.638
238,岸田　行倫,巨人,.182,22,4,0,2,.250,.273,.523,.341,.181,.091,.068,1.45,2.17,1.54,2.31,.286,.182,.444
241,リチャード,ソフトバンク,.181,105,19,7,20,.233,.419,.652,.372,.210,.238,.052,10.63,3.19,12.38,3.71,.190,.295,.598
242,大城　滉二,オリックス,.180,61,11,0,5,.242,.230,.472,.319,.166,.049,.062,2.81,1.33,2.89,1.37,.212,.115,.385
242,横尾　俊建,楽天,.180,61,11,0,3,.254,.213,.467,.325,.167,.033,.073,2.52,1.29,2.72,1.39,.204,.033,.365
242,木村　文紀,西武,.180,50,9,0,3,.222,.220,.442,.296,.155,.040,.042,2.13,1.31,2.58,1.58,.257,.100,.341
245,小野寺　暖,阪神,.179,67,12,1,2,.247,.254,.500,.331,.174,.075,.067,3.27,1.55,3.58,1.70,.234,.149,.404
245,谷内　亮太,日本ハム,.179,39,7,0,2,.233,.179,.412,.292,.150,.000,.053,1.11,0.86,1.64,1.27,.194,.077,.303
247,根尾　昂,中日,.178,169,30,1,16,.251,.231,.482,.328,.171,.053,.074,7.70,1.42,8.92,1.65,.248,.124,.368
248,知野　直人,DeNA,.176,34,6,1,3,.263,.353,.616,.381,.207,.176,.087,2.64,2.22,2.83,2.39,.217,.235,.500
248,野村　大樹,ソフトバンク,.176,17,3,0,3,.263,.235,.498,.342,.177,.059,.087,1.06,2.04,1.10,2.12,.250,.176,.429
250,陽川　尚将,阪神,.174,46,8,2,6,.255,.326,.581,.364,.196,.152,.081,3.18,2.10,3.44,2.27,.231,.217,.500
250,下妻　貴寛,楽天,.174,23,4,0,2,.296,.174,.470,.354,.177,.000,.122,1.43,2.03,1.61,2.29,.222,.174,.421
252,太田　椋,オリックス,.172,151,26,3,9,.194,.245,.439,.275,.148,.073,.021,4.37,0.89,5.25,1.07,.213,.106,.328
253,渡邉　大樹,ヤクルト,.171,35,6,0,3,.216,.229,.445,.292,.154,.057,.045,1.41,1.03,1.53,1.12,.194,.171,.406
253,磯村　嘉孝,広島,.171,35,6,0,3,.231,.229,.459,.307,.161,.057,.059,1.74,1.57,2.15,1.94,.222,.114,.379
255,鳥谷　敬,ロッテ,.170,53,9,0,2,.279,.226,.505,.354,.182,.057,.109,3.66,2.25,3.74,2.30,.214,.208,.455
256,ロメロ,オリックス,.169,77,13,3,9,.200,.338,.538,.313,.174,.169,.031,4.43,1.84,4.94,2.05,.233,.195,.446
257,ディクソン,楽天,.167,108,18,4,15,.268,.324,.592,.376,.202,.157,.102,8.76,2.52,9.55,2.74,.226,.278,.543
257,蝦名　達夫,DeNA,.167,18,3,0,1,.286,.167,.452,.341,.170,.000,.119,0.26,0.41,0.37,0.59,.273,.167,.353
257,髙田　知季,ソフトバンク,.167,12,2,0,2,.267,.333,.600,.378,.203,.167,.100,1.57,3.27,1.92,3.99,.182,.417,.700
257,八百板　卓丸,巨人,.167,12,2,0,1,.167,.167,.333,.222,.117,.000,.000,-0.35,-0.85,-0.30,-0.74,.250,.000,.182
257,佐藤　龍世,西武,.167,12,2,0,0,.167,.167,.333,.222,.117,.000,.000,0.02,0.05,0.08,0.22,.200,.000,.200
257,谷口　雄也,日本ハム,.167,12,2,0,0,.167,.167,.333,.222,.117,.000,.000,-0.01,-0.02,0.06,0.16,.286,.000,.200
257,江村　直也,ロッテ,.167,6,1,0,0,.375,.167,.542,.431,.210,.000,.208,0.93,3.59,0.96,3.70,.250,.500,.800
264,アルバレス,ソフトバンク,.162,37,6,1,3,.225,.270,.495,.315,.169,.108,.063,1.72,1.45,1.96,1.65,.172,.189,.406
265,坂口　智隆,ヤクルト,.160,50,8,0,0,.250,.180,.430,.310,.158,.020,.090,1.06,0.62,1.46,0.86,.205,.040,.267
265,宜保　翔,オリックス,.160,25,4,0,1,.222,.240,.462,.302,.160,.080,.062,0.83,0.97,0.84,0.99,.211,.120,.364
265,ハイネマン,巨人,.160,25,4,0,2,.250,.200,.450,.317,.163,.040,.090,0.83,1.01,0.93,1.14,.211,.080,.364
265,大下　誠一郎,オリックス,.160,25,4,1,2,.222,.280,.502,.316,.170,.120,.062,1.43,1.84,1.67,2.15,.176,.160,.429
269,鈴木　将平,西武,.158,38,6,0,0,.200,.184,.384,.261,.136,.026,.042,0.87,0.69,1.04,0.83,.188,.079,.281
270,ガーバー,中日,.156,45,7,0,1,.174,.178,.352,.233,.123,.022,.018,0.27,0.20,0.50,0.36,.259,.044,.237
271,平田　良介,中日,.155,58,9,0,4,.210,.259,.468,.296,.159,.103,.055,2.49,1.35,2.68,1.45,.200,.172,.400
272,中田　翔,巨人,.154,91,14,3,7,.274,.297,.570,.372,.197,.143,.120,6.89,2.33,7.53,2.54,.186,.297,.525
272,細川　成也,DeNA,.154,39,6,0,1,.250,.179,.429,.310,.157,.026,.096,1.60,1.31,1.85,1.51,.231,.103,.364
272,平沼　翔太,西武,.154,13,2,0,0,.154,.231,.385,.231,.127,.077,.000,0.18,0.43,0.19,0.47,.250,.077,.273
275,村林　一輝,楽天,.150,40,6,1,4,.190,.250,.440,.274,.148,.100,.040,0.91,0.57,1.26,0.79,.139,.200,.368
276,佐野　皓大,オリックス,.146,82,12,1,2,.167,.232,.398,.244,.133,.085,.020,2.48,0.89,3.01,1.08,.190,.171,.375
276,田中　俊太,DeNA,.146,48,7,0,8,.246,.146,.391,.294,.147,.000,.100,1.53,0.88,2.60,1.49,.189,.125,.310
276,谷川原　健太,ソフトバンク,.146,48,7,1,5,.255,.229,.484,.331,.172,.083,.109,2.69,1.65,3.12,1.91,.214,.229,.429
276,西野　真弘,オリックス,.146,41,6,0,1,.167,.146,.313,.215,.112,.000,.020,-0.13,-0.10,0.14,0.11,.171,.024,.200
280,髙部　瑛斗,ロッテ,.145,55,8,1,6,.242,.218,.460,.315,.163,.073,.096,3.41,1.68,3.79,1.86,.167,.273,.479
281,柿沼　友哉,ロッテ,.143,49,7,1,4,.236,.224,.461,.311,.162,.082,.094,1.07,0.51,1.42,0.67,.130,.184,.340
281,メヒア,西武,.143,21,3,1,3,.182,.381,.563,.309,.177,.238,.039,1.40,2.10,1.41,2.12,.250,.286,.500
281,板山　祐太郎,阪神,.143,14,2,0,1,.250,.357,.607,.369,.202,.214,.107,1.35,2.81,1.35,2.80,.222,.357,.583
281,石橋　康太,中日,.143,14,2,0,0,.200,.143,.343,.248,.126,.000,.057,-0.18,-0.34,-0.09,-0.17,.167,.071,.231
281,大野　奨太,中日,.143,14,2,0,0,.200,.143,.343,.248,.126,.000,.057,-0.24,-0.50,-0.15,-0.31,.222,.071,.231
281,岩見　雅紀,楽天,.143,7,1,0,0,.250,.286,.536,.345,.184,.143,.107,0.51,2.28,0.50,2.25,.250,.286,.500
281,陽　岱鋼,巨人,.143,7,1,0,0,.143,.143,.286,.190,.100,.000,.000,-0.10,-0.45,-0.06,-0.27,.200,.000,.167
288,田中　和基,楽天,.136,59,8,0,3,.239,.136,.374,.284,.141,.000,.103,1.45,0.77,2.00,1.06,.186,.119,.314
288,増田　大輝,巨人,.136,22,3,1,2,.208,.318,.527,.314,.173,.182,.072,1.36,1.52,1.78,2.00,.125,.455,.565
290,中井　大介,DeNA,.133,15,2,0,0,.133,.133,.267,.178,.093,.000,.000,-0.32,-0.67,-0.22,-0.46,.222,.000,.154
291,武田　健吾,中日,.132,38,5,1,1,.154,.263,.417,.242,.135,.132,.022,0.60,0.45,0.82,0.62,.182,.158,.324
292,山本　祐大,DeNA,.131,99,13,1,4,.173,.182,.355,.234,.123,.051,.042,1.22,0.35,1.90,0.55,.154,.091,.267
293,後藤　駿太,オリックス,.125,16,2,1,1,.176,.313,.489,.281,.158,.188,.051,0.75,1.34,1.01,1.82,.111,.313,.467
293,髙濱　卓也,ロッテ,.125,8,1,0,2,.222,.125,.347,.264,.131,.000,.097,-0.23,-0.78,-0.18,-0.61,.167,.125,.250
295,岡田　雅利,西武,.119,42,5,1,2,.229,.214,.443,.301,.157,.095,.110,2.25,1.38,2.61,1.60,.093,.190,.405
296,杉谷　拳士,日本ハム,.117,77,9,2,9,.253,.247,.500,.335,.175,.130,.136,4.03,1.47,4.84,1.77,.140,.260,.458
297,宇佐見　真吾,日本ハム,.116,43,5,1,2,.269,.186,.455,.331,.168,.070,.153,1.93,1.16,2.41,1.45,.129,.256,.425
298,正隨　優弥,広島,.115,26,3,1,4,.148,.231,.379,.225,.124,.115,.033,-0.39,-0.43,-0.11,-0.12,.133,.154,.280
299,西田　明央,ヤクルト,.111,18,2,0,0,.158,.111,.269,.195,.099,.000,.047,-0.29,-0.49,-0.13,-0.22,.143,.056,.188
299,三木　亮,ロッテ,.111,9,1,0,2,.200,.222,.422,.274,.146,.111,.089,0.17,0.45,0.17,0.46,.125,.333,.444
299,吉田　裕太,ロッテ,.111,9,1,1,1,.200,.444,.644,.348,.201,.333,.089,0.87,2.94,1.04,3.51,.000,.444,.625
302,武藤　敦貴,楽天,.105,19,2,0,0,.105,.211,.316,.175,.100,.105,.000,0.53,0.84,0.67,1.06,.182,.316,.471
303,木村　文紀,日本ハム,.103,29,3,1,4,.222,.241,.464,.303,.160,.138,.119,1.32,1.23,2.29,2.13,.118,.310,.444
303,滝野　要,中日,.103,29,3,0,0,.133,.172,.306,.191,.103,.069,.030,0.32,0.33,0.55,0.57,.120,.207,.346
305,石垣　雅海,中日,.100,10,1,0,0,.100,.200,.300,.167,.095,.100,.000,-0.09,-0.25,-0.07,-0.19,.125,.100,.222
305,下水流　昂,楽天,.100,10,1,0,0,.100,.100,.200,.133,.070,.000,.000,-0.42,-1.27,-0.34,-1.02,.167,.000,.111
305,山下　斐紹,中日,.100,10,1,0,0,.100,.100,.200,.133,.070,.000,.000,-0.43,-1.29,-0.35,-1.05,.200,.000,.111
308,加藤　匠馬,ロッテ,.095,105,10,2,4,.128,.171,.300,.186,.101,.076,.033,-1.39,-0.34,-0.42,-0.10,.123,.105,.216
309,小林　誠司,巨人,.093,75,7,1,3,.117,.160,.277,.170,.093,.067,.024,-1.83,-0.69,-1.23,-0.46,.115,.093,.214
310,中山　翔太,ヤクルト,.091,11,1,0,1,.286,.091,.377,.316,.151,.000,.195,0.44,1.18,0.60,1.62,.125,.000,.400
310,石岡　諒太,中日,.091,11,1,0,0,.091,.091,.182,.121,.064,.000,.000,-0.87,-2.14,-0.81,-1.99,.167,.000,.091
312,福田　秀平,ロッテ,.083,12,1,0,2,.154,.167,.321,.209,.111,.083,.071,0.16,0.38,0.22,0.54,.125,.250,.364
313,今川　優馬,日本ハム,.071,28,2,1,2,.133,.179,.312,.193,.105,.107,.062,-0.19,-0.20,0.21,0.22,.056,.143,.269
314,小田　裕也,オリックス,.067,15,1,0,0,.176,.067,.243,.199,.096,.000,.110,-0.07,-0.11,0.19,0.30,.083,.267,.375
314,高木　渉,西武,.067,15,1,0,1,.176,.133,.310,.221,.113,.067,.110,-0.04,-0.07,0.08,0.15,.125,.200,.286
316,渡部　健人,西武,.063,16,1,1,2,.118,.250,.368,.201,.115,.188,.055,0.10,0.18,0.37,0.67,.000,.250,.333
317,足立　祐一,楽天,.059,17,1,0,1,.111,.118,.229,.150,.079,.059,.052,-0.43,-0.64,-0.32,-0.48,.059,.118,.188
317,戸川　大輔,西武,.059,17,1,0,1,.056,.059,.114,.075,.040,.000,-.003,-1.09,-1.73,-0.61,-0.97,.077,.000,.063
319,小窪　哲也,ロッテ,.056,18,1,1,2,.053,.222,.275,.127,.079,.167,-.003,-0.37,-0.56,0.24,0.36,.000,.167,.235
320,伊藤　康祐,中日,.053,19,1,0,0,.053,.105,.158,.088,.050,.053,.000,-1.01,-1.36,-0.89,-1.20,.083,.053,.111
321,奥村　展征,ヤクルト,.050,20,1,0,0,.095,.050,.145,.112,.055,.000,.045,-1.46,-1.98,-1.28,-1.73,.067,.050,.100
322,西川　愛也,西武,.000,20,0,0,2,.154,.000,.154,.154,.069,.000,.154,-1.03,-1.16,-0.09,-0.10,.000,.200,.190
322,三好　匠,広島,.000,11,0,0,0,.000,.000,.000,.000,.000,.000,.000,-1.05,-2.18,-0.94,-1.95,.000,.000,.000
322,佐藤　直樹,ソフトバンク,.000,9,0,0,0,.182,.000,.182,.182,.082,.000,.182,-0.14,-0.43,0.01,0.03,.000,.333,.333
322,長岡　秀樹,ヤクルト,.000,9,0,0,0,.100,.000,.100,.100,.045,.000,.100,-0.63,-1.88,-0.50,-1.50,.000,.111,.111
322,佐野　如一,オリックス,.000,8,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.80,-2.40,-0.72,-2.16,.000,.000,.000
322,松井　雅人,オリックス,.000,7,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.72,-2.76,-0.65,-2.51,.000,.000,.000
322,熊谷　敬宥,阪神,.000,5,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.30,1.17,0.52,2.01,.000,1.200,1.000
322,曽根　海成,広島,.000,5,0,0,0,.167,.000,.167,.167,.075,.000,.167,-0.35,-1.04,0.21,0.63,.000,1.200,.667
322,小川　龍成,ロッテ,.000,6,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.27,-1.24,-0.20,-0.90,.000,.333,.333
322,矢野　雅哉,広島,.000,6,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.62,-2.81,-0.56,-2.52,.000,.000,.000
322,内山　壮真,ヤクルト,.000,5,0,0,0,.167,.000,.167,.167,.075,.000,.167,-0.54,-2.42,-0.49,-2.21,.000,.200,.167
322,ウレーニャ,巨人,.000,5,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.52,-2.83,-0.47,-2.54,.000,.000,.000
322,江越　大賀,阪神,.000,3,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.09,0.64,0.30,2.03,.000,1.333,1.000
322,綱島　龍生,西武,.000,3,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.32,-2.84,-0.29,-2.61,.000,.000,.000
322,今井　順之助,日本ハム,.000,2,0,0,0,.333,.000,.333,.333,.150,.000,.333,0.11,1.52,0.16,2.16,.000,.500,.500
322,宮田　輝星,日本ハム,.000,2,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.26,-2.37,-0.14,-1.26,.000,.500,.333
322,上野　響平,日本ハム,.000,2,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.21,-2.81,-0.19,-2.57,.000,.000,.000
322,伊藤　裕季也,DeNA,.000,2,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.21,-2.81,-0.19,-2.57,.000,.000,.000
322,テームズ,巨人,.000,2,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.22,-2.92,-0.20,-2.70,.000,.000,.000
322,宗接　唯人,ロッテ,.000,1,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.11,-2.92,-0.10,-2.70,.000,.000,.000
322,田宮　裕涼,日本ハム,.000,1,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.10,-2.70,-0.09,-2.43,.000,.000,.000
322,勝俣　翔貴,オリックス,.000,1,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.10,-2.70,-0.09,-2.43,.000,.000,.000
322,藤井　淳志,中日,.000,1,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.11,-2.92,-0.10,-2.70,.000,.000,.000
322,秋広　優人,巨人,.000,1,0,0,0,.000,.000,.000,.000,.000,.000,.000,-0.10,-2.70,-0.09,-2.43,.000,.000,.000
322,齊藤　誠人,西武,.000,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00,.000,.000,.000
322,平間　隼人,巨人,.000,0,0,0,0,.000,.000,.000,.000,.000,.000,.000,0.00,0.00,0.00,0.00,.000,.000,.000
